Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7724,Predator: Concrete Jungle,PS2,2005.0,Action,Vivendi Games,0.1,0.07,0.0,0.03,0.2
332,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,0.96,2.0,0.21,0.56,3.73
5654,Harry Potter and the Half-Blood Prince,X360,2009.0,Action,Electronic Arts,0.17,0.12,0.0,0.03,0.32
6345,Jikkyou Powerful Pro Yakyuu 5,N64,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27
8142,Pro Evolution Soccer 2013,3DS,2012.0,Sports,Konami Digital Entertainment,0.05,0.02,0.1,0.01,0.18
13291,Cesar Millan's Dog Whisperer,DS,2008.0,Simulation,Ubisoft,0.04,0.0,0.0,0.0,0.05
14693,TV Total Events,Wii,2011.0,Misc,7G//AMES,0.0,0.02,0.0,0.0,0.03
3992,The Saboteur,PS3,2009.0,Action,Electronic Arts,0.2,0.22,0.0,0.08,0.5
4960,Ice Age 2: The Meltdown,PS2,2006.0,Platform,Vivendi Games,0.19,0.15,0.0,0.05,0.39
14325,Smart Girl's Winter Wonderland,DS,2008.0,Misc,UFO Interactive,0.03,0.0,0.0,0.0,0.03
7196,Mobile Suit Gundam Seed,PS2,2003.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
15552,Miyako,PSP,2010.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
13264,Rugby 06,PS2,2006.0,Sports,Electronic Arts,0.02,0.02,0.0,0.01,0.05
15911,Adventure Time: The Secret of the Nameless,3DS,2014.0,Adventure,Little Orbit,0.01,0.0,0.0,0.0,0.02
12814,Amazing Island,GC,2004.0,Strategy,Sega,0.04,0.01,0.0,0.0,0.06
12505,D.C. II P.S.: Da Capo II Plus Situation,PS2,2008.0,Adventure,Kadokawa Shoten,0.0,0.0,0.06,0.0,0.06
15408,Vitamin R,PSP,2013.0,Adventure,D3Publisher,0.0,0.0,0.02,0.0,0.02
16104,Aeon Flux,XB,2005.0,Action,THQ,0.01,0.0,0.0,0.0,0.01
6991,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,X360,2010.0,Sports,Sega,0.08,0.13,0.0,0.03,0.23
15510,Sengoku Basara: Sanada Yukimura-Den,PS3,2016.0,Action,Capcom,0.0,0.0,0.02,0.0,0.02
10710,Real Bout Garou Densetsu,SAT,1996.0,Fighting,SNK,0.0,0.0,0.1,0.0,0.1
14061,Kuroshitsuji: Phantom & Ghost,DS,2009.0,Action,Square Enix,0.0,0.0,0.04,0.0,0.04
9179,Eragon,X360,2006.0,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.14
15902,Triggerheart Exelica,DC,2007.0,Shooter,Warashi,0.0,0.0,0.02,0.0,0.02
11441,King's Field (Japan),PS,1994.0,Role-Playing,From Software,0.0,0.0,0.08,0.01,0.08
5060,Just Dance 2015,PS4,2014.0,Misc,Ubisoft,0.19,0.13,0.0,0.06,0.38
8258,FaceBreaker,PS3,2008.0,Fighting,Electronic Arts,0.13,0.03,0.0,0.02,0.17
1602,Tales of Xillia,PS3,2011.0,Role-Playing,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24
5497,Night at the Museum: Battle of the Smithsonian,Wii,2009.0,Action,Majesco Entertainment,0.17,0.13,0.0,0.03,0.33
5522,Call Of Duty 2: Big Red One,GC,2005.0,Shooter,Activision,0.25,0.07,0.0,0.01,0.33
3386,Rayman Origins,PSV,2012.0,Platform,Ubisoft,0.13,0.35,0.0,0.11,0.59
13149,Keiba Eight Special,SNES,1993.0,Sports,Misawa,0.0,0.0,0.05,0.0,0.05
5232,Dark Void,PS3,2010.0,Action,Capcom,0.18,0.12,0.0,0.06,0.36
3683,Metro 2033,X360,2010.0,Shooter,THQ,0.22,0.24,0.03,0.05,0.55
5353,Risk / Battleship / Clue,GBA,2005.0,Misc,Zoo Digital Publishing,0.25,0.09,0.0,0.01,0.34
3926,Final Fantasy II Anniversary Edition,PSP,2007.0,Role-Playing,Square Enix,0.36,0.03,0.07,0.04,0.51
1044,Toy Story 2: Buzz Lightyear to the Rescue!,PS,1998.0,Platform,Activision,0.99,0.64,0.0,0.08,1.71
1679,NFL 2K,DC,1999.0,Sports,Sega,1.12,0.05,0.0,0.02,1.2
7926,Pro Yaky? Spirits 4,PS2,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19
8327,NBA 09: The Inside,PSP,2008.0,Sports,Sony Computer Entertainment,0.16,0.0,0.0,0.01,0.17
7879,Warhammer: Shadow of the Horned Rat,PS,1996.0,Strategy,Mindscape,0.11,0.07,0.0,0.01,0.19
1848,Toy Story 3: The Video Game,PS3,2010.0,Action,Disney Interactive Studios,0.51,0.42,0.0,0.17,1.11
4710,BlazBlue: Continuum Shift,PS3,2010.0,Fighting,PQube,0.21,0.08,0.09,0.04,0.41
5855,Neopets: The Darkest Faerie,PS2,2005.0,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3
8270,Ice Age: Dawn of the Dinosaurs,PS2,2009.0,Action,Activision,0.08,0.07,0.0,0.02,0.17
13015,Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015.0,Shooter,Xseed Games,0.02,0.02,0.0,0.01,0.05
4479,Eternal Darkness: Sanity's Requiem,GC,2002.0,Adventure,Nintendo,0.34,0.09,0.0,0.01,0.44
12723,Kamen Rider Kabuto,PS2,2006.0,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
5573,Pinball Hall of Fame: The Gottlieb Collection,PS2,2004.0,Misc,Play It,0.16,0.12,0.0,0.04,0.33
6628,Zoo Resort 3D,3DS,2011.0,Simulation,Ubisoft,0.11,0.09,0.03,0.02,0.25
260,Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
684,Just Dance Kids,Wii,2010.0,Misc,Ubisoft,1.57,0.56,0.0,0.19,2.32
10476,Kidou Senshi Gundam UC,PS3,2012.0,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
12358,Kuukan * Zukei: Hirameki Training - KuuTore,DS,2008.0,Misc,Benesse,0.0,0.0,0.06,0.0,0.06
4864,Armored Core V,PS3,2012.0,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.4
6076,Looney Tunes Racing,PS,2000.0,Racing,Infogrames,0.16,0.11,0.0,0.02,0.29
305,Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92
12628,Captain America: Super Soldier,Wii,,Action,Sega,0.05,0.0,0.0,0.0,0.06
9720,DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File,DS,2008.0,Adventure,Tecmo Koei,0.0,0.0,0.12,0.0,0.12
14224,Shining Stars,DS,2008.0,Action,"Destination Software, Inc",0.03,0.0,0.0,0.0,0.03
10000,Yakuza,PS3,2012.0,Action,Sega,0.0,0.0,0.11,0.0,0.11
11752,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PS3,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07
2150,The Sims 2,DS,2005.0,Simulation,Electronic Arts,0.82,0.07,0.0,0.07,0.96
13933,Corpse Party: Blood Covered - Repeated Fear,3DS,2015.0,Adventure,5pb,0.0,0.0,0.04,0.0,0.04
6568,Marvel Super Heroes vs. Street Fighter,PS,1998.0,Fighting,Virgin Interactive,0.14,0.1,0.0,0.02,0.26
9580,City Crisis,PS2,2001.0,Simulation,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13
10416,SimCity 2000,GBA,2003.0,Simulation,Zoo Digital Publishing,0.08,0.03,0.0,0.0,0.11
11495,Kenshuui Tendo Dokuta,DS,2004.0,Simulation,Spike,0.0,0.0,0.08,0.0,0.08
13400,Hiiro no Kakera DS,DS,2008.0,Adventure,Idea Factory,0.0,0.0,0.05,0.0,0.05
16373,Gobliiins 4,PC,2009.0,Adventure,Kalypso Media,0.0,0.01,0.0,0.0,0.01
8037,Chaotic: Shadow Warriors,DS,2009.0,Action,Activision,0.17,0.0,0.0,0.01,0.18
12210,Cold Stone Creamery: Scoop It Up,Wii,2009.0,Misc,Zoo Games,0.06,0.0,0.0,0.0,0.07
7558,Spectrobes: Origins,Wii,2009.0,Role-Playing,Disney Interactive Studios,0.16,0.02,0.0,0.02,0.2
12970,Fate/Unlimited Codes Portable,PSP,2009.0,Fighting,Capcom,0.0,0.0,0.05,0.0,0.05
8630,NCAA Final Four 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.09,0.06,0.0,0.01,0.16
16153,Accel World: Kasoku no Chouten,PSP,2013.0,Adventure,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
1560,WWE '12,X360,2011.0,Fighting,THQ,0.74,0.4,0.0,0.12,1.27
10240,Gabrielle's Ghostly Groove 3D,3DS,2011.0,Adventure,Funbox Media,0.08,0.02,0.0,0.01,0.11
2368,Star Wars: Rebel Assault II - The Hidden Empire,PS,1996.0,Shooter,CTO SpA,0.49,0.33,0.0,0.06,0.88
10994,Pokemon Rumble World,3DS,2015.0,Action,Nintendo,0.0,0.01,0.08,0.0,0.09
9481,Sin and Punishment,N64,2000.0,Shooter,Nintendo,0.0,0.0,0.13,0.0,0.13
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
3158,Tom Clancy's Rainbow Six,N64,1999.0,Shooter,Red Storm Entertainment,0.48,0.15,0.0,0.01,0.64
7795,Rock Band Country Track Pack,PS3,2009.0,Misc,MTV Games,0.18,0.0,0.0,0.01,0.19
1860,The Final Fantasy Legend,GB,1989.0,Role-Playing,SquareSoft,0.0,0.0,1.1,0.0,1.1
7662,NFL Street 2,GC,2004.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2
226,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68
4823,Fighting Vipers,SAT,1995.0,Fighting,Sega,0.0,0.0,0.4,0.0,0.4
12093,Midway Arcade Treasures 3,GC,2005.0,Misc,Midway Games,0.05,0.01,0.0,0.0,0.07
6963,Etrian Mystery Dungeon,3DS,2015.0,Role-Playing,Nippon Ichi Software,0.09,0.01,0.12,0.01,0.23
1366,Inazuma Eleven 2,DS,2009.0,Role-Playing,Nintendo,0.0,0.21,1.18,0.03,1.42
4092,The Sims 2: Pets,Wii,2007.0,Simulation,Electronic Arts,0.42,0.03,0.0,0.04,0.48
13995,NHL 16,PS3,2015.0,Sports,Electronic Arts,0.0,0.03,0.0,0.01,0.04
12171,Rapala Pro Bass Fishing 2010,PSP,2010.0,Sports,Activision,0.06,0.0,0.0,0.01,0.07
15419,Pastel Chime Continue,PSP,2010.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
9884,Power Gig: Rise of the SixString,X360,2010.0,Misc,Unknown,0.11,0.0,0.0,0.01,0.12
5257,Arctic Thunder,PS2,2001.0,Racing,Midway Games,0.17,0.14,0.0,0.05,0.36
14185,MX vs. ATV Supercross,PS3,2014.0,Racing,Nordic Games,0.02,0.01,0.0,0.01,0.03
12222,Gunstar Super Heroes,GBA,2005.0,Shooter,Sega,0.05,0.02,0.0,0.0,0.07
16339,Nakayoshi All-Stars: Mezase Gakuen Idol,DS,2008.0,Misc,Creative Core,0.0,0.0,0.01,0.0,0.01
13145,The Lost Treasures of Alexandria,DS,2011.0,Puzzle,Unknown,0.0,0.04,0.0,0.01,0.05
14596,Saihai no Yukue,DS,2008.0,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
14097,Might & Magic X: Legacy,PC,2014.0,Role-Playing,Ubisoft,0.0,0.03,0.0,0.0,0.04
10682,Idol Janshi Suchie-Pai Remix,SAT,1995.0,Misc,Jaleco,0.0,0.0,0.1,0.0,0.1
2549,Mega Man,NES,1987.0,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
15849,Psychedelica of the Black Butterfly,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
5139,Wanted: Weapons of Fate,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0.0,0.04,0.37
12965,Aliens in the Attic,DS,2009.0,Action,Playlogic Game Factory,0.05,0.0,0.0,0.0,0.05
4948,Marvel: Ultimate Alliance,PS3,2006.0,Role-Playing,Activision,0.33,0.02,0.0,0.04,0.39
8953,Rayman Origins,3DS,2012.0,Platform,Ubisoft,0.06,0.08,0.0,0.01,0.15
15778,Dunamis 15,X360,2011.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
8896,187: Ride or Die,PS2,2005.0,Racing,Ubisoft,0.07,0.06,0.0,0.02,0.15
6302,Gunship,PS,1996.0,Simulation,Microprose,0.15,0.1,0.0,0.02,0.27
4352,Plants vs. Zombies: Garden Warfare 2,PS4,2016.0,Shooter,Electronic Arts,0.17,0.21,0.0,0.07,0.45
2764,Ace Combat: Assault Horizon,PS3,2011.0,Action,Namco Bandai Games,0.3,0.16,0.22,0.07,0.74
16546,Driving Simulator 2011,PC,2011.0,Racing,,0.0,0.01,0.0,0.0,0.01
2786,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012.0,Fighting,Namco Bandai Games,0.27,0.25,0.14,0.08,0.74
16246,Mahjong Taikai IV,PS3,2006.0,Misc,Tecmo Koei,0.0,0.0,0.01,0.0,0.01
2526,Stranglehold,X360,2007.0,Shooter,Midway Games,0.4,0.33,0.01,0.09,0.82
473,Star Fox,SNES,1993.0,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99
5793,NHL FaceOff 2000,PS,1998.0,Sports,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31
5684,Power Rangers: Time Force,PS,2001.0,Action,THQ,0.18,0.12,0.0,0.02,0.32
10923,Dragon Ball Kai: Ultimate Butouden,DS,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
8837,NBA ShootOut 2001,PS2,2001.0,Sports,Sony Computer Entertainment,0.07,0.06,0.0,0.02,0.15
15435,Tenkai Knights: Brave Battle,3DS,2014.0,Action,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02
5524,"Warhammer 40,000: Squad Command",PSP,2007.0,Strategy,THQ,0.11,0.14,0.0,0.08,0.33
16169,Smiley World: Island Challenge,DS,2009.0,Puzzle,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01
13501,Resident Evil 6,PC,2012.0,Shooter,Capcom,0.0,0.04,0.0,0.01,0.04
15827,A Vampyre Story,PC,2008.0,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.02
4999,Get Fit with Mel B,PS3,2010.0,Sports,Black Bean Games,0.15,0.17,0.0,0.07,0.38
13340,Supreme Commander,PC,2007.0,Strategy,THQ,0.0,0.04,0.0,0.01,0.05
9434,The Unholy War,PS,1998.0,Strategy,Eidos Interactive,0.07,0.05,0.0,0.01,0.13
16227,New Interpretation Stranger of Sword City,PSV,2016.0,Role-Playing,Experience Inc.,0.0,0.0,0.01,0.0,0.01
3596,Fullmetal Alchemist and the Broken Angel,PS2,2003.0,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56
2819,Avatar: The Game,Wii,2009.0,Action,Ubisoft,0.33,0.32,0.0,0.08,0.73
450,FIFA 15,X360,2014.0,Sports,Electronic Arts,0.78,2.02,0.0,0.3,3.11
10978,Agassi Tennis Generation,PS2,2003.0,Sports,DreamCatcher Interactive,0.04,0.03,0.0,0.01,0.09
2446,Overwatch,XOne,2016.0,Shooter,Activision,0.52,0.25,0.0,0.08,0.85
8742,Atelier Iris: Eternal Mana,PS2,2004.0,Role-Playing,Tecmo Koei,0.08,0.06,0.0,0.02,0.15
12130,Secret Service: Ultimate Sacrifice,PS2,2008.0,Action,Activision,0.03,0.03,0.0,0.01,0.07
4866,Command & Conquer,PS,1996.0,Strategy,Virgin Interactive,0.22,0.15,0.0,0.03,0.4
12928,Domino Rally,Wii,2007.0,Action,Nordcurrent,0.05,0.0,0.0,0.0,0.05
5139,Wanted: Weapons of Fate,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0.0,0.04,0.37
3779,Jampack Vol. 2,PS,1996.0,Misc,Sony Computer Entertainment,0.3,0.2,0.0,0.03,0.53
513,Skylanders: Spyro's Adventure,Wii,2011.0,Action,Activision,1.4,1.14,0.0,0.31,2.85
9436,Wantame Music Channel: Doko Demo Style,DS,2007.0,Misc,Capcom,0.0,0.0,0.13,0.0,0.13
4887,NHL 99,N64,1998.0,Sports,Electronic Arts,0.38,0.01,0.0,0.0,0.39
3104,Disney's Chicken Little,PS2,2005.0,Platform,Disney Interactive Studios,0.32,0.25,0.0,0.08,0.65
11857,Digimon World Championship,DS,2008.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
6224,Dynasty Warriors: Gundam,PS2,2008.0,Action,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28
7251,Lethal Skies Elite Pilot: Team SW,PS2,2001.0,Simulation,Sammy Corporation,0.11,0.08,0.0,0.03,0.22
15309,Shaberu! DS Oryouri Navi: Marugoto Teikoku Hotel: Saikouhou no Ryouri-chou ga Oshieru Katei Ryouri,DS,2007.0,Misc,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
12641,Call of Duty: The War Collection,X360,2010.0,Shooter,Activision,0.05,0.0,0.0,0.0,0.06
6901,Hello Kitty Seasons,Wii,2010.0,Adventure,Namco Bandai Games,0.16,0.06,0.0,0.02,0.24
7132,3rd Super Robot Wars Z Jigoku Hen,PS3,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23
4803,Congo Bongo,2600,1982.0,Action,Sega,0.37,0.02,0.0,0.0,0.4
13408,Wolfenstein,PC,2009.0,Shooter,Activision,0.01,0.03,0.0,0.01,0.05
16066,Super Robot Taisen XO,X360,2006.0,Strategy,Banpresto,0.0,0.0,0.01,0.0,0.01
9689,Strikers 1945,PS,1998.0,Shooter,Midas Interactive Entertainment,0.07,0.05,0.0,0.01,0.12
13200,Pinball Tycoon,GBA,2002.0,Misc,Ignition Entertainment,0.03,0.01,0.0,0.0,0.05
12229,Pro Evolution Soccer 2015,PC,2014.0,Sports,Konami Digital Entertainment,0.0,0.06,0.0,0.01,0.07
1325,Tamagotchi,GB,1996.0,Simulation,Namco Bandai Games,0.0,0.0,1.44,0.01,1.45
15317,Aquanaut's Holiday,PS,1995.0,Adventure,Sony Computer Entertainment,0.01,0.01,0.0,0.0,0.02
2866,Top Spin 4,PS3,2011.0,Sports,Take-Two Interactive,0.17,0.4,0.0,0.14,0.71
342,Banjo-Kazooie,N64,1998.0,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
15994,Donkey Kong Jungle Beat,Wii,2008.0,Platform,Nintendo,0.0,0.01,0.0,0.0,0.01
7181,A Boy and His Blob,Wii,2009.0,Platform,Majesco Entertainment,0.19,0.02,0.0,0.02,0.22
13163,Tokimeki Memorial Girl's Side 2nd Kiss,PS2,2006.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05
7309,Digimon World Re:Digitize,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
8693,Battlestar Galactica,PS2,2003.0,Shooter,Vivendi Games,0.08,0.06,0.0,0.02,0.16
2022,Bomberman,NES,1985.0,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03
9123,Cabela's Outdoor Adventures (2009),PS2,2009.0,Sports,Activision Value,0.07,0.05,0.0,0.02,0.14
13295,Moon,DS,2009.0,Adventure,Mastiff,0.04,0.0,0.0,0.0,0.05
6761,X-Men Legends II: Rise of Apocalypse,GC,2005.0,Role-Playing,Activision,0.19,0.05,0.0,0.01,0.25
10187,Project: Snowblind,XB,2005.0,Action,Eidos Interactive,0.08,0.02,0.0,0.0,0.11
11613,Phantasy Star Online Episode III: C.A.R.D. Revolution,GC,2003.0,Role-Playing,Sega,0.06,0.02,0.0,0.0,0.08
4928,Age of Empires III,PC,2005.0,Strategy,Microsoft Game Studios,0.0,0.32,0.0,0.07,0.39
515,Assassin's Creed: Brotherhood,PS3,2010.0,Action,Ubisoft,1.87,0.57,0.11,0.3,2.84
15983,Turok,PC,2008.0,Action,Touchstone,0.0,0.01,0.0,0.0,0.01
3588,NASCAR Rumble,PS,2000.0,Racing,Electronic Arts,0.31,0.21,0.0,0.04,0.56
4672,Cyber Troopers Virtual-On,SAT,1995.0,Fighting,Sega,0.0,0.0,0.42,0.0,0.42
6736,Littlest Pet Shop: Country Friends,DS,2009.0,Simulation,Electronic Arts,0.23,0.0,0.0,0.02,0.25
14275,Best Friends Tonight,DS,2010.0,Misc,Ubisoft,0.03,0.0,0.0,0.0,0.03
11519,Kobitodzukan: Kobito no Fushigi - Jikken Set,3DS,2013.0,Misc,Nippon Columbia,0.0,0.0,0.08,0.0,0.08
15941,Space Invaders Revolution,DS,2005.0,Shooter,Rising Star Games,0.01,0.0,0.0,0.0,0.02
4628,James Bond 007: Everything or Nothing,GC,2004.0,Shooter,Electronic Arts,0.32,0.08,0.0,0.01,0.42
11306,PAC-MAN and the Ghostly Adventures,X360,2013.0,Platform,Namco Bandai Games,0.04,0.03,0.0,0.01,0.08
118,Zumba Fitness,Wii,2010.0,Sports,505 Games,3.5,2.64,0.0,0.67,6.81
8345,Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,0.12,0.05,0.0,0.0,0.17
916,Mortal Kombat: Deception,PS2,2004.0,Fighting,Midway Games,0.92,0.72,0.0,0.24,1.88
200,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
10012,NASCAR 07,PS2,2006.0,Racing,Electronic Arts,0.06,0.04,0.0,0.01,0.11
14006,Sudoku Ball Detective,Wii,2009.0,Puzzle,Playlogic Game Factory,0.02,0.01,0.0,0.0,0.04
3815,Go Diego Go! Safari Rescue,Wii,2008.0,Action,Take-Two Interactive,0.48,0.01,0.0,0.04,0.53
589,Streets of Rage,GEN,1990.0,Action,Sega,1.86,0.55,0.11,0.08,2.6
3558,Top Spin 3,X360,2008.0,Action,Take-Two Interactive,0.09,0.4,0.0,0.07,0.57
7517,Planet 51,Wii,2009.0,Action,Sega,0.17,0.02,0.0,0.02,0.2
2282,Tokyo Xtreme Racer 3,PS2,2003.0,Racing,Genki,0.35,0.27,0.21,0.09,0.91
271,EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
16483,Muv-Luv Alternative,PS3,2012.0,Simulation,5pb,0.0,0.0,0.01,0.0,0.01
12511,S.C.A.R.S,N64,1998.0,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06
6840,Peter Jackson's King Kong: The Official Game of the Movie,GC,2005.0,Action,Ubisoft,0.19,0.05,0.0,0.01,0.24
573,Medal of Honor Heroes,PSP,2006.0,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65
2945,X-Men Origins: Wolverine - Uncaged Edition,X360,2009.0,Action,Activision,0.42,0.21,0.0,0.06,0.69
14494,Senko no Ronde DUO,X360,2010.0,Fighting,G.Rev,0.0,0.0,0.03,0.0,0.03
1599,Ratchet: Deadlocked,PS2,2005.0,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24
4724,SpongeBob SquigglePants,Wii,2011.0,Misc,THQ,0.36,0.03,0.0,0.03,0.41
2010,ZhuZhu Pets,DS,2010.0,Simulation,Activision,0.68,0.27,0.0,0.09,1.04
11825,The King of Fighters Collection: The Orochi Saga,PSP,2008.0,Fighting,Ignition Entertainment,0.07,0.0,0.0,0.0,0.07
6189,Disney's Treasure Planet,GBA,2002.0,Action,Ubisoft,0.2,0.07,0.0,0.01,0.28
13595,Zombi Daisuki,DS,2011.0,Action,ChunSoft,0.0,0.0,0.04,0.0,0.04
8627,FIFA Soccer 96,PS,1995.0,Sports,Electronic Arts,0.09,0.06,0.0,0.01,0.16
1064,Dragon Age: Origins,PS3,2009.0,Role-Playing,Electronic Arts,0.96,0.44,0.08,0.22,1.69
8916,Rubik's World,Wii,2008.0,Puzzle,Game Factory,0.13,0.01,0.0,0.01,0.15
4344,NHL 2005,PS2,2004.0,Sports,Electronic Arts,0.22,0.17,0.0,0.06,0.45
12375,Mario vs. Donkey Kong: Tipping Stars,3DS,2015.0,Puzzle,Nintendo,0.0,0.0,0.06,0.0,0.06
4284,Tomb Raider: Legend,PSP,2006.0,Action,Eidos Interactive,0.09,0.24,0.0,0.12,0.46
14469,Graffiti Kingdom,PS2,2004.0,Role-Playing,505 Games,0.01,0.01,0.0,0.0,0.03
11277,Martian Panic,Wii,2010.0,Adventure,Unknown,0.08,0.0,0.0,0.0,0.08
945,"Hey You, Pikachu!",N64,1998.0,Simulation,Nintendo,0.83,0.06,0.93,0.0,1.83
9139,Eternal Poison,PS2,2008.0,Role-Playing,Banpresto,0.07,0.05,0.0,0.02,0.14
8877,Tetris Attack,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.15,0.0,0.15
10288,Deca Sports DS,DS,2009.0,Sports,Hudson Soft,0.08,0.02,0.0,0.01,0.11
6273,Dragon Ball Z: Budokai 2,GC,2004.0,Fighting,Atari,0.21,0.06,0.0,0.01,0.27
7178,Petz Rescue: Endangered Paradise,DS,2008.0,Adventure,Ubisoft,0.21,0.0,0.0,0.02,0.22
305,Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92
178,Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
14066,Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen,PSP,2010.0,Adventure,Yeti,0.0,0.0,0.04,0.0,0.04
9472,Lovely Lisa and Friends,DS,2010.0,Simulation,Tomy Corporation,0.12,0.0,0.0,0.01,0.13
6331,Sengoku Basara 4,PS3,2014.0,Action,Capcom,0.0,0.0,0.27,0.0,0.27
4184,Clash of Elementalists,DS,2010.0,Action,Level 5,0.0,0.0,0.47,0.0,0.47
3620,Soldier of Fortune: Gold Edition,PS2,2001.0,Shooter,Codemasters,0.27,0.21,0.0,0.07,0.56
7670,Family Feud: 2012 Edition,Wii,2011.0,Misc,Ubisoft,0.19,0.0,0.0,0.01,0.2
7274,NBA 06,PSP,2005.0,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.22
3839,Metal Gear Solid 2: Substance,PS2,2002.0,Action,Konami Digital Entertainment,0.18,0.14,0.16,0.05,0.52
14920,ZooCube,GC,2002.0,Puzzle,Acclaim Entertainment,0.02,0.0,0.0,0.0,0.02
9907,Rodea the Sky Soldier,WiiU,2015.0,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01,0.12
2690,Plants vs. Zombies: Garden Warfare,PS3,2014.0,Shooter,Electronic Arts,0.22,0.4,0.01,0.14,0.76
7624,San Francisco Rush 2049,N64,2000.0,Racing,Midway Games,0.16,0.04,0.0,0.0,0.2
15059,Xia-Xia,DS,2012.0,Platform,,0.0,0.02,0.0,0.0,0.02
11168,Battle Fantasia,X360,2008.0,Fighting,505 Games,0.07,0.0,0.01,0.01,0.09
14151,Cabela's Dangerous Hunts 2,GC,2005.0,Sports,Activision,0.03,0.01,0.0,0.0,0.03
15657,Bejeweled Blitz,PC,2010.0,Puzzle,Mastertronic,0.0,0.01,0.0,0.0,0.02
6495,Lumines: Electronic Symphony,PSV,2012.0,Misc,Ubisoft,0.11,0.1,0.01,0.05,0.26
